Company_Name,Founder_Name,Founder_linkedin_id,No_of_Employees,Funding_Type,Year_Founded,Software_Type,Industry_Type,Category,Size_of_Company,Company_Website,Company_Linkedin_id,City,Address,Short_Desription
AODocs,Stephan Donze,https://www.linkedin.com/in/stephanedonze/,51-200 employees,Self-funded,2012,B2B SaaS,Horizontal,Document Management,Medium,www.aodocs.com,https://www.linkedin.com/company/altirnao/about/,Atlanta,"1155 Perimeter Center W, Atlanta, GA 30338",Content service platform
Apex Human Capital Management,Robert Digby,https://www.linkedin.com/in/robert-digby-6851894/,51-200 employees,Self-funded,2008,B2B SaaS,Horizontal,HR and Recruiting,Medium,apexhcm.com,https://www.linkedin.com/company/apexhcm/about/,Atlanta,"500 Colonial Center Pkwy, Suite 650, Roswell, GA 30076, US",Human capital management platform
Apparity,Nick Ferrante,https://www.linkedin.com/in/nick-ferrante-b2325a/,11-50 employees,Angel or Seed Funding,2009,B2B SaaS,Horizontal,Compliance,Small,www.apparity.com,https://www.linkedin.com/company/apparity-spreadsheetandeucmanagement/about/,Atlanta,"3475 Piedmont Road NE, Suite 450, Atlanta, GA 30305",Rick management software
Apptega,Armistead Whitney,https://www.linkedin.com/in/armistead-whitney-2b0b6b5/,11-50 employees,Angel or Seed Funding,2017,B2B SaaS,Horizontal,Compliance,Small,www.apptega.com,https://www.linkedin.com/company/apptega/about/,Atlanta,"75 5th Street NW, Suite 2070, Atlanta, GA 30308",Cybersecurity compliance management platform
AppVault,Tom Daly,https://www.linkedin.com/in/thomasfdaly/,11-50 employees,Angel or Seed Funding,2002,B2B SaaS,Horizontal,HR and Recruiting,Small,www.appvault.com,https://www.linkedin.com/company/appvault/about/,Atlanta,"5565 Glenridge Connector, Suite 1000, Atlanta, GA 30342",Recruitment Marketing Platform
Arpeggio Software,Rich Brown,https://www.linkedin.com/in/brownrich/,1-10 employees,Self-funded,2011,B2B SaaS,Horizontal,Cybersecurity,Startup,www.arpeggiosoftware.com,https://www.linkedin.com/company/arpeggio-software/about/,Atlanta,"2879 Peachtree Rd, #141, Atlanta, GA 30305",Secure cloud connectors and security software
ArrayFire,John Melonakos,https://www.linkedin.com/in/melonakos/,11-50 employees,Self-funded,2007,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Small,arrayfire.com,https://www.linkedin.com/company/accelereyes/about/,Atlanta,"90 Peachtree Pl NE, Atlanta, GA 30309",Code optimization software
AthenaHealth,Bob Segert,https://www.linkedin.com/in/bob-segert-8b62688/,5001-10000 employees,Acquired,1997,B2B SaaS,Healthcare,Business Mgt and ERP,Large,www.athenahealth.com,https://www.linkedin.com/company/athenahealth/about/,Atlanta,"675 Ponce de Leon Avenue NE, Atlanta, GA 30308",Medical practice and record management
AUVESY-MDT,Gary Gillespie,https://www.linkedin.com/in/gary-gillespie-07a2a2a/,51-200 employees,Self-funded,2007,B2B SaaS,Horizontal,Cybersecurity,Medium,auvesy-mdt.com,https://www.linkedin.com/company/auvesy-gmbh-&-co-kg/about/,Atlanta,"3480 Preston Ridge Road, Alpharetta, GA 30005 U.S.A",Source code change management platform
AVOXI,David Wise,https://www.linkedin.com/in/davidovertonwise/,51-200 employees,VC-funded,2001,B2B SaaS,Horizontal,Sales and Marketing,Medium,www.avoxi.com,https://www.linkedin.com/company/avoxi/about/,Atlanta,"1000 Circle 75 Parkway, Atlanta, GA 30339",Global Contact Center as a Service Software provider
Axway,Patrick Donovan,https://www.linkedin.com/in/pmdonovan67,1001-5000 employees,Public,2001,B2B SaaS,Horizontal,Business Mgt and ERP,Large,www.axway.com,https://www.linkedin.com/company/axway/about/,Atlanta,"1000 Parkwood Circle, SE, Suite 900, Atlanta, GA  30339",Enterprise integration and EDI technologies
Azalea Health,Baha Zeidan,https://www.linkedin.com/in/bahazeidan/,51-200 employees,VC-funded,2008,B2B SaaS,Healthcare,Practice Management,Medium,www.azaleahealth.com,https://www.linkedin.com/company/azalea-health/about/,Atlanta,"5871 Glenridge Drive NE, Suite 480, Atlanta, Georgia 30328, US",Full practice management software
Banyan Hills Technologies,Steve Latham,https://www.linkedin.com/in/steve-latham-2887726/,11-50 employees,Self-funded,2013,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Small,banyanhills.com,https://www.linkedin.com/company/banyan-hills-technologies/about/,Atlanta,"Duluth, GA",Enterprise IoT platform
BBL Systems,Chris Vesper,https://www.linkedin.com/in/chris-vesper-732526183/,1-10 employees,Self-funded,2010,B2B SaaS,Retail,Point of Sale,Startup,www.bblsystems.com,https://www.linkedin.com/company/basiscode-technologies-llc/about/,Atlanta,3600 Cherokee St Suite 120-1002 Kennesaw GA 30144,"POS platform for bridal, tuxedo & prom retail stores"
BetterCloud,David Politis,https://www.linkedin.com/in/davidpolitis/,201-500 employees,Private Equity funding,2011,B2B SaaS,Horizontal,IT Mgt,Medium,www.bettercloud.com,https://www.linkedin.com/company/bettercloud/about/,Atlanta,"3525 Piedmont Rd. NE, Atlanta, GA 30305",SaaSOps management platform
BeyondTrust,Matt Dircks,https://www.linkedin.com/in/mattdircks/,1001-5000 employees,Acquired,1985,B2B SaaS,Horizontal,Cybersecurity,Large,www.beyondtrust.com,https://www.linkedin.com/company/beyondtrust/about/,Atlanta,"11695 Johns Creek Pkwy, Johns Creek, Georgia 30097, US","Security, privileged access and vulnerability mgmt s/w"
BIG App Work,Esau Ramos,https://www.linkedin.com/in/esau-ramos-bb98b4b8/,1-10 employees,Self-funded,2015,B2B SaaS,Construction,Sales and Marketing,Startup,bigapp.work,https://www.linkedin.com/company/beyondtrust/about/,Atlanta,"4470 Chamblee Dunwoody Rd Atlanta, GA 30338",Construction job board
BigContacts,Bob Walton,https://www.linkedin.com/in/bob-walton-28367b21/,1-10 employees,Acquired,2007,B2B SaaS,Horizontal,Sales and Marketing,Startup,www.bigcontacts.com,https://www.linkedin.com/company/bigcontacts/about/,Atlanta,"1110 Satellite Blvd NW,Suwanee,Georgia 30024",CRM & Email Marketing platform for small businesses
bigWebApps,Patric Clements,https://www.linkedin.com/in/patrickclements/,11-50 employees,Self-funded,2001,B2B SaaS,Horizontal,Business Mgt and ERP,Small,www.bigwebapps.com,https://www.linkedin.com/company/bigwebapps/about/,Atlanta,"1447 Peachtree St, Atlanta, GA 30309",Help desk software for professional services firms
Bioscape Digital,Stuart Bracken,https://www.linkedin.com/in/shbracken/,11-50 employees,Other,2012,B2B SaaS,Healthcare,Practice Management,Small,www.bioscapedigital.com,https://www.linkedin.com/company/bioscape-digital/about/,Atlanta,"887 W Marietta St NW, Suite E, Atlanta, Georgia 30318",Patient engagement platform
Blissbook,Tom O'Dea,https://www.linkedin.com/in/tomodea/,1-10 employees,Self-funded,2010,B2B SaaS,Horizontal,HR and Recruiting,Startup,blissbook.com,https://www.linkedin.com/company/blissbook/about/,Atlanta,"Atlanta, GA",Policy management software
Blueleap,Raleigh Burgess,https://www.linkedin.com/in/raleighburgess/,11-50 employees,Self-funded,2009,B2B SaaS,Horizontal,Communications,Small,www.blueleap.com,https://www.linkedin.com/company/blueleapinc/about/,Atlanta,"Atlanta, GA",Customer service automation
BrainLeaf,Jason Long,https://www.linkedin.com/in/jasonmlong1/,1-10 employees,Self-funded,2014,B2B SaaS,Horizontal,Communications,Startup,www.brainleaf.com,https://www.linkedin.com/company/brainleaf/about/,Atlanta,"Athens, GA",SaaS Project Planning Tool
Branded Bridge Line,Tammie Childs,https://www.linkedin.com/in/tammiechilds/,11-50 employees,Self-funded,2012,B2B SaaS,Horizontal,Communications,Small,brandedbridgeline.com,https://www.linkedin.com/company/brandedbridgeline/about/,Atlanta,"675 Ponce De Leon Ave NE, Suite #8500, Atlanta, GA 30308, US",Branded conference call and teleconferencing
BrandMaker,Mirko Holzer,https://www.linkedin.com/in/mirkoholzer/,51-200 employees,VC-funded,1999,B2B SaaS,Horizontal,Sales and Marketing,Medium,www.brandmaker.com,https://www.linkedin.com/company/brandmaker/about/,Atlanta,"225 Peachtree Street NE,  Suite 1100, Atlanta, GA 30303, USA",Marketing Resource Management (MRM) system
Broadcom,Marla Schimke,https://www.linkedin.com/in/marlaschimke/,"10,001+ employees",Acquired,1991,B2B SaaS,Horizontal,IT Mgt,Large,www.broadcom.com,https://www.linkedin.com/company/broadcom/about/,Atlanta,"4385 River Green Parkway, Chattahoochee Corners, Suite 100, Duluth, Georgia 30096",Enterprise software
Brytecore,Eddie Krebs,https://www.linkedin.com/in/ekrebs/,1-10 employees,Self-funded,2015,B2B SaaS,Real Estate & Property Mgt.,Sales and Marketing,Startup,www.brytecore.com,https://www.linkedin.com/company/brytecore/about/,Atlanta,"5775 Glenridge Dr, Sandy Springs, Georgia US",Lead behavior analytics and scoring
bZx,Kyle Kistner,https://www.linkedin.com/in/kyleb0x/,11-50 employees,Angel or Seed Funding,2017,B2B SaaS,Financial Services,Cloud and Software Dev Tools,Small,bzx.network,https://www.linkedin.com/company/bzx/about/,Atlanta,"Atlanta, GA",Open finance protocol
C2Perform (formerly EducationFolder),Craig Preston,https://www.linkedin.com/in/craig-preston-5018251/,11-50 employees,Self-funded,2015,B2B SaaS,Education,Sales and Marketing,Small,www.c2perform.com,https://www.linkedin.com/company/c2perform/about/,Atlanta,"300 Colonial Center Drive, Suite 100, Roswell, GA 30076",Contact Center performance management tools
Calendly,Tope Awotona,https://www.linkedin.com/in/bawotona/,51-200 employees,Angel or Seed Funding,2013,B2B SaaS,Horizontal,Business Mgt and ERP,Medium,calendly.com,https://www.linkedin.com/company/calendly/about/,Atlanta,"1315 Peachtree St NE, Atlanta, Georgia 30309,",Scheduling software
CallRail,Andy Powell,https://www.linkedin.com/in/apowellgt/,201-500 employees,Other,2011,B2B SaaS,Horizontal,Sales and Marketing,Medium,www.callrail.com,https://www.linkedin.com/company/callrail/about/,Atlanta,"100 Peachtree St., Suite 2700, Atlanta, GA 30303, US",Sales and marketing analytics
Care Logistics,Karl Straub,https://www.linkedin.com/in/karlstraub/,51-200 employees,Self-funded,2010,B2B SaaS,Healthcare,Practice Management,Medium,www.carelogistics.com,https://www.linkedin.com/company/carelogistics-a-jackson-healthcare-company-/about/,Atlanta,"Alpharetta, GA",Business practice operating system for hospitals
SEMS Technologies,Mitch Copman,https://www.linkedin.com/in/mitch-copman-0a08ba4/,11-50 employees,Self-funded,2007,B2B SaaS,"Energy, Gas, Oil, Utilities",Business Mgt and ERP,Small,www.cartegraph.com,https://www.linkedin.com/company/sems-technologies-llc/about/,Atlanta,"5400 Laurel Springs Parkway, Building 1100, Suite 1105, Suwanee, GA 30024",Operations and maintenance management system for utilities and public works
CaseFleet,Jeff Kerr,https://www.linkedin.com/in/tjeffkerr/,1-10 employees,Self-funded,2015,B2B SaaS,Legal,Practice Management,Startup,www.casefleet.com,https://www.linkedin.com/company/casefleet/about/,Atlanta,"Atlanta, GA",Practice mgmt for lawyers and the legal profession
CCC,Laura Dihel,https://www.linkedin.com/in/laura-dihel-a931474b/,1001-5000 employees,Acquired,1980,B2B SaaS,Automotive,Business Mgt and ERP,Large,www.cccis.com,https://www.linkedin.com/company/ccc-information-services/about/,Atlanta,"11675 Great Oaks Way,  Suite 145, Alpharetta, GA 30022",Insurance claims management platform
CDC Software,Matthew Bieber,https://www.linkedin.com/in/mcbieber/,1001-5000 employees,Acquired,2002,B2B SaaS,Horizontal,Sales and Marketing,Large,www.cdcsoftware.com,https://www.linkedin.com/company/cdc-software-llc/about/,Atlanta,"Atlanta, GA",Telephony & CRM integration software for call centers
CDRAnalyzer by TransNexus,Jim Dalton,https://www.linkedin.com/in/jim-dalton-shaken-transnexus/,11-50 employees,Self-funded,1997,B2B SaaS,Horizontal,Analytics and BI,Small,transnexus.com,https://www.linkedin.com/company/transnexus/about/,Atlanta,"3715 Northside Parkway NW, Building 100, Suite 500, Atlanta, GA 30327",Call history analysis and reporting
Ceridian,David Ossip,https://www.linkedin.com/in/dossip/,1001-5000 employees,Acquired,2012,B2B SaaS,Horizontal,HR and Recruiting,Large,www.ceridian.com,https://www.linkedin.com/company/ceridian/about/,Atlanta,"6600 Peachtree Dunwoody Rd., 300 Embassy Row, Sandy Springs, Georgia 30328, US",HR platform for tracking time and attendance
ChartFast,Jeannie Hennum,https://www.linkedin.com/in/jeannie-hennum-33643310/,51-200 employees,Self-funded,2013,B2B SaaS,Healthcare,Practice Management,Medium,www.chartfast.com,https://www.linkedin.com/company/chartfast/about/,Atlanta,"5425 Sugarloaf Parkway , Suite 2201, Lawrenceville, GA 30043",Automated health information management
ChildPlus,Truman Thomas McMurrain,https://www.linkedin.com/in/truman-thomas-mcmurrain-90a45884/,51-200 employees,Self-funded,1986,B2B SaaS,Education,Practice Management,Medium,www.childplus.com,https://www.linkedin.com/company/childplussoftware/about/,Atlanta,"303 Perimeter Center N, Atlanta, Georgia 30346","Head Start operations software, service, and support"
Cinamaker,Benjamin Nowak,https://www.linkedin.com/in/therealbenjaminnowak/,11-50 employees,Self-funded,2017,B2B SaaS,Horizontal,On-Demand Services,Small,cinamaker.net,https://www.linkedin.com/company/cinamaker/about/,Atlanta,"3619 Piedmont Rd, Atlanta, Georgia 30305, US",Multi-camera HD live streaming & recording for mobile
ClearIP by TransNexus,Jim Dalton,https://www.linkedin.com/in/jim-dalton-shaken-transnexus/,11-50 employees,Self-funded,1997,B2B SaaS,Horizontal,Communications,Small,transnexus.com,https://www.linkedin.com/company/transnexus/about/,Atlanta,"3715 Northside Parkway NW, Building 100, Suite 500, Atlanta, GA 30327",Telecom software platform
CloudBolt Software,Jeff Kukowski,https://www.linkedin.com/in/jeff-kukowski-00025/,51-200 employees,Other,2012,B2B SaaS,Horizontal,IT Mgt,Medium,www.cloudbolt.io,https://www.linkedin.com/company/cloudbolt/about/,Atlanta,"Atlanta, GA",Hybrid cloud platform
Cloudera,Frank O’Dowd,https://www.linkedin.com/in/frank-o-dowd-262508/,1001-5000 employees,Public,2008,B2B SaaS,Horizontal,IT Mgt,Large,www.cloudera.com,https://www.linkedin.com/company/cloudera/about/,Atlanta,"3340 Peachtree Road, N.E. Suite 2330, Atlanta, GA 30326",Data lifecycle management for enterprise
CloudMed,Lee Rivas,https://www.linkedin.com/in/lee-rivas-b0a66b/,1001-5000 employees,Acquired,1996,B2B SaaS,Healthcare,Accounting and Finance,Large,www.cloudmed.com,https://www.linkedin.com/company/cloudmedsolutions/about/,Atlanta,"1100 Peachtree Street, Suite 1900, Atlanta, GA 30309",Revenue cycle management software
Cloudnosys,Jahanzaib Ahmad,https://www.linkedin.com/in/jahanzaib-ahmad/,11-50 employees,Self-funded,2015,B2B SaaS,Horizontal,Cybersecurity,Small,cloudnosys.com,https://www.linkedin.com/company/cloudnosys/about/,Atlanta,"205 Market Place, Suite 200, Roswell, Georgia 30075, US","Cloud Security, Compliance and DevOps Automation"
CN2,Margaret Martin,https://www.linkedin.com/in/margaret-martin-2660634/,11-50 employees,VC-funded,2010,B2B SaaS,Horizontal,Document Management,Small,cn2.merlinmobility.com,https://www.linkedin.com/company/cn2/about/,Atlanta,"1175 Peachtree Street, NE, Atlanta , GA 30361 US",Augmented Reality (AR) content management
Cognira,Bahadir Ustaoglu,https://www.linkedin.com/in/bahadir/,51-200 employees,Self-funded,2015,B2B SaaS,Retail,Analytics and BI,Medium,cognira.com,https://www.linkedin.com/company/cognira/about/,Atlanta,"3423 Piedmont Rd NE, Atlanta, GA 30305, US",Retail analytics platform
Cognizant,Brian Humphries,https://www.linkedin.com/in/brhumphries/,"10,001+ employees",Public,1994,B2B SaaS,Horizontal,Business Mgt and ERP,Large,www.cognizant.com,https://www.linkedin.com/company/cognizant/about/,Atlanta,"11695 Johns Creek Parkway, Suite 300, Duluth, GA 30097",Enterprise software
Cognosos,Nish Parikh,https://www.linkedin.com/in/parikhnish/,11-50 employees,VC-funded,2015,B2B SaaS,Automotive,Logistics and Supply Chain,Small,www.cognosos.com,https://www.linkedin.com/company/cognosos/about/,Atlanta,"1100 Spring St NW, Atlanta, Georgia",Assets and inventory tracking software
CoLinear Systems,Scott Weaver,https://www.linkedin.com/in/scottatcolinear/,1-10 employees,Self-funded,1985,B2B SaaS,Horizontal,Business Mgt and ERP,Startup,www.colinear.com,https://www.linkedin.com/company/colinearsystems/about/,Atlanta,"2650 Holcomb Bridge Road, Suite 610, Alpharetta, GA 30022, US",Mail-order management software
Comlite Systems,Tom Northrup,https://www.linkedin.com/in/tom-northrop-b5ba971a8/,51-200 employees,Self-funded,1983,B2B SaaS,Healthcare,Practice Management,Medium,comliteinfo.com,https://www.linkedin.com/company/colinearsystems/about/,Atlanta,"5174 McGinnis Ferry Rd. #159, Alpharetta, Ga 30005",Light signaling communication systems for health care professionals
Commercient,Richard Jenkins,https://www.linkedin.com/in/commercientsysprocrmsalesforce/,11-50 employees,Self-funded,2000,B2B SaaS,Horizontal,Sales and Marketing,Small,www.commercient.com,https://www.linkedin.com/company/commercient/about/,Atlanta,"1640 Powers Ferry Rd SE, Marietta, GA 30067, US",Apps for syncing ERP and CRM systems
Competitive Sports Analysis,Diane Bloodworth,https://www.linkedin.com/in/dianebloodworth/,1-10 employees,Self-funded,2010,B2B SaaS,Sports and Fitness,Practice Management,Startup,www.scoutsmartrecruiting.com,https://www.linkedin.com/company/competitive-sports-analysis-csa-/about/,Atlanta,"Atlanta Tech Village, 3423 Piedmont Rd NE, Suite 200, Atlanta, GA 30305, US",College recruiting software
Compliance PT,Nathan Maggard,https://www.linkedin.com/in/nathanmaggard/,1-10 employees,Self-funded,2014,B2B SaaS,Healthcare,Accounting and Finance,Startup,www.compliancept.com,https://www.linkedin.com/company/compliance-pt/about/,Atlanta,Atlanta,Payor management software
ComplianceMate,Steven Getraer,https://www.linkedin.com/in/steven-getraer-96451010/,11-50 employees,Self-funded,2001,B2B SaaS,Food,Compliance,Small,www.compliancemate.com,https://www.linkedin.com/company/compliancemate/about/,Atlanta,"1000 Hurricane Shoals Road NE, Lawrenceville, GA 30043, US",Food safety mgmt & back of house operations mgmt
Conduent,Cliff Skelton,https://www.linkedin.com/in/cliff-skelton-53431844/,"10,001+ employees",VC-funded,2017,B2B SaaS,Horizontal,Business Mgt and ERP,Large,www.conduent.com,https://www.linkedin.com/company/conduent/about/,Atlanta,"1020 Delta Blvd, Ste A406, Atlanta, GA 30354, US",Efficiency software for enterprise
ConnectALL,Lance Knight,https://www.linkedin.com/in/lancedknight/,51-200 employees,Self-funded,2018,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Medium,www.connectall.com,https://www.linkedin.com/company/connectallofficial/about/,Atlanta,"Atlanta, GA",ConnectALL Integration Platform
